Line,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325
A1,0.436221333,-0.506679219,0.095577219,-0.248031832,0.226772418,-0.114627052,-0.006383223,-0.009258611,-0.036226097,0.009931188,-0.002006439,-0.00420921,0,0.006968807,0.026008884,0.019576891,0.021306964,0.022112779,0.014259349,0.009635399,0.022861035,0.022250187,0.007092226,0.052364366,0.003216077,0.003279942,0.001205915,0.003460169,0.003638108,0.003883332,0.003841395,0.003841395,0.003607756,0.004075034,0.004314806,0.004647254,0.004829904,0.004325439,0.003597964,0.004340375,0.004637794,0.004374659,0.005087533,0.005737236,0.004130319,0.004329789,0.006094572,0.002691753,0.014962539,0.014977176,0.014501844,0.015018481,0.015059261,0.015115463,0.015105851,0.015105851,0.015052305,0.015159398,0.015031209,0.015473681,0.015477894,0.014566971,0.013567224,0.013914828,0.013012992,0.012536577,0.014928667,0.015810266,0.012899443,0.012944075,0.016295145,0.013921298,0.016852627
A10,0.195416245,0.224003382,0.065825244,0.119692984,0.07405639,0.77375316,-0.004135563,-0.006057421,0.034273445,-0.051586755,-0.001395616,-0.002911955,0,0.00479284,0.017916812,0.013486147,0.014679179,0.015234857,0.00982526,0.00664188,0.015750844,0.015329612,0.00489102,0.036066589,0.002291037,0.00233406,0.000936882,0.002455471,0.00257534,0.002740536,0.002712285,0.002712285,0.002554893,0.002869677,0.003028159,0.003258199,0.003380616,0.003027568,0.002514184,0.003026738,0.003225478,0.00304548,0.003544064,0.003993912,0.00287834,0.003014787,0.004241328,0.001916634,0.010328838,0.010338885,0.010012588,0.010367239,0.010395234,0.010433814,0.010427216,0.010427216,0.010390459,0.010463973,0.010375977,0.010679717,0.010682608,0.010057296,0.009371009,0.009609625,0.00899055,0.00866351,0.010305585,0.010910769,0.008912603,0.008943242,0.011243619,0.009614067,0.011626308
A11,-0.064726124,-0.065386049,-0.044253394,-0.067371266,-0.068966744,-0.071435176,0.606991648,-0.256201991,-0.068996956,-0.073357034,-0.030951415,-0.028221459,0,-0.018675725,-0.002395098,-0.001431304,0.001265172,0.002521108,0.004209708,0.009114937,0.003687334,0.00273527,0.011812813,-0.018252823,0.174833902,0.172575666,0.245912564,0.166202909,0.15991103,0.151239991,0.152722871,0.152722871,0.160984272,0.144461469,0.128932056,0.131279099,0.123371159,0.110588555,0.082274156,0.084820305,0.070551447,0.07351795,0.090842295,0.096078808,0.07627256,0.074023799,0.098958891,0.144267433,0.048568716,0.048485546,0.051186511,0.04825084,0.048019113,0.047699762,0.047754376,0.047754376,0.04805864,0.047450112,0.048178516,0.045664267,0.045640331,0.05081644,0.056497271,0.054522094,0.059646566,0.062353683,0.048761188,0.043751704,0.060291784,0.060038172,0.040996488,0.054485326,0.037828729
A12-1,-0.013618622,-0.015906772,-0.051766335,-0.06770611,0.015641282,0.03102369,0.30509306,0.374302194,-0.110124465,0.045933888,-0.01483331,-0.012786309,0,-0.011489196,-0.00926932,-0.006791511,-0.005982002,-0.005604958,-0.002323983,0.001560824,-0.005254846,-0.005540665,0.003697468,-0.02536902,0.086308017,0.085160505,0.122426329,0.081922216,0.078725025,0.074318874,0.075072393,0.075072393,0.079270388,0.070874398,0.063045093,0.064113936,0.060108275,0.053881652,0.039968183,0.041009198,0.033791479,0.035354532,0.04378446,0.046197732,0.036805938,0.035621064,0.047525031,0.07120688,0.019609173,0.019563098,0.021059416,0.019433072,0.019304697,0.019127778,0.019158034,0.019158034,0.019326594,0.018989474,0.019393005,0.018000126,0.017986866,0.020854399,0.024001546,0.02290731,0.025746237,0.027245964,0.019715802,0.016940577,0.026103684,0.025963184,0.015414204,0.022886941,0.013659285
A13-2,-0.051107502,-0.049479277,0.007512941,0.000334843,-0.084608026,-0.102458865,0.301898588,0.369495814,0.041127509,-0.119290922,-0.016118104,-0.01543515,0,-0.00718653,0.006874222,0.005360206,0.007247174,0.008126066,0.006533691,0.007554113,0.00894218,0.008275935,0.008115345,0.007116197,0.088525885,0.087415162,0.123486235,0.084280693,0.081186005,0.076921117,0.077650477,0.077650477,0.081713884,0.073587071,0.065886963,0.067165163,0.063262884,0.056706904,0.042305973,0.043811107,0.036759968,0.038163418,0.047057835,0.049881076,0.039466622,0.038402735,0.051433859,0.073060553,0.028959542,0.028922448,0.030127094,0.028817768,0.028714416,0.028571984,0.028596342,0.028596342,0.028732045,0.028460639,0.028785511,0.027664141,0.027653465,0.02996204,0.032495725,0.031614784,0.033900329,0.035107719,0.029045386,0.026811126,0.0341881,0.034074988,0.025582284,0.031598386,0.024169445
A14,0.150703834,0.156240995,0.187710643,0.258828459,0.102177397,0.077086352,0.134286252,0.161109854,0.34283709,0.051938262,-0.126213952,0.089854058,0,-0.066668659,0.032854477,0.0169783,0.022834029,0.025561448,0.022926835,0.028099474,0.028094051,0.026026528,0.030944425,0.091520662,0.050178605,0.049755704,0.063489532,0.048562275,0.047383993,0.045760164,0.046037864,0.046037864,0.047584979,0.044490748,0.041448311,0.042156319,0.040647801,0.037671055,0.030136106,0.03236491,0.031462364,0.031126747,0.034110259,0.035627954,0.030815101,0.031069517,0.036462686,0.04277182,0.032036423,0.032029117,0.03226637,0.032008501,0.031988146,0.031960094,0.031964892,0.031964892,0.031991618,0.031938165,0.032002148,0.031781297,0.031779194,0.032233863,0.032732866,0.032559367,0.033009499,0.033247292,0.03205333,0.031613298,0.033066175,0.033043898,0.03137128,0.032556137,0.031093025
A15,0.164922541,0.170103267,0.213144069,0.271683138,0.114042399,0.087583656,0.140487308,0.169235636,0.354866654,0.061366488,0.101883622,-0.122569217,0,0.088183673,0.081043941,0.068938507,0.072084796,0.07355024,0.04227496,0.019089266,0.07491101,0.073800128,0.006337135,0.131089159,0.051333167,0.050911332,0.064610574,0.049720908,0.048545593,0.046925854,0.047202854,0.047202854,0.048746074,0.045659634,0.042010562,0.04394538,0.042314381,0.036677482,0.026858195,0.029185775,0.024281203,0.024933327,0.033753018,0.037724533,0.02553887,0.025044527,0.039908866,0.041160423,0.058421885,0.058452441,0.057460124,0.058538671,0.058623806,0.058741133,0.058721068,0.058721068,0.058609284,0.058832853,0.058565242,0.059488961,0.059497754,0.057596086,0.055508986,0.056234653,0.054351956,0.053357379,0.058351172,0.060191624,0.054114907,0.054208082,0.061203872,0.056248161,0.062367686
A16,0.225481597,0.223521396,0.075764066,0.130976789,0.29769557,0.33654859,0.142452902,0.172792367,0.055192229,0.372458271,-0.125592777,0.096308138,0,-0.075980674,0.002098109,-0.006287483,-0.002430377,-0.000633856,0.006123781,0.016916184,0.001034343,-0.000327512,0.022852006,0.030005947,0.046628017,0.046127669,0.06237661,0.044715685,0.04332162,0.041400416,0.041728971,0.041728971,0.043559414,0.039898528,0.0365611,0.03687441,0.035143529,0.032760182,0.026057243,0.027420796,0.026182537,0.02615083,0.028279532,0.029026259,0.026121389,0.026145424,0.029436958,0.039816584,0.014414502,0.014389707,0.015194926,0.014319736,0.014250653,0.014155448,0.014171729,0.014171729,0.014262437,0.014081021,0.014298175,0.01354862,0.013541484,0.0150846,0.016778185,0.01618934,0.017717061,0.018524114,0.014471883,0.012978442,0.017909415,0.017833808,0.012157049,0.016178378,0.011212668
A17,0.239910433,0.237588529,0.101573356,0.144021438,0.309735917,0.347201026,0.148745599,0.181038234,0.067399569,0.38202583,0.105875697,-0.119254397,0,0.081160116,0.050999733,0.046440609,0.047548233,0.04806413,0.025757838,0.007772821,0.048543178,0.048152101,-0.002118939,0.070159199,0.047799642,0.047300375,0.063514219,0.04589144,0.044500387,0.042583332,0.042911178,0.042911178,0.044737667,0.041084688,0.03713166,0.038689911,0.036834738,0.031751925,0.022730891,0.024194679,0.01889525,0.019865882,0.027917011,0.031153821,0.020767184,0.020031395,0.032934067,0.038181372,0.041189897,0.041203524,0.040761003,0.041241978,0.041279943,0.041332265,0.041323317,0.041323317,0.041273467,0.041373167,0.041253827,0.041665757,0.041669678,0.040821635,0.039890898,0.040214507,0.039374923,0.038931395,0.041158363,0.041979108,0.039269212,0.039310763,0.042430517,0.040220531,0.042949516
