first,second
5,"[3605, 4451, 4214, 4339, 6879, 1050, 3455, 375, 3317, 4722, 4010, 5791, 5406, 1245, 1514, 2020, 5306, 6166, 5512, 2481, 4497, 5327, 5529, 6184, 4186, 3904, 3651, 1458, 2208, 3659, 4739, 2414, 2004, 5929, 5236, 6568, 2770, 6530, 5301, 2936, 673, 2188, 459, 5307, 4159, 2522, 5603, 3560, 3201, 388]"
16,"[2663, 477, 447, 78, 1071, 3710, 4, 5911, 5542, 2862, 1044, 4780, 5134, 761, 472, 1501, 3218, 2533, 2992, 6230, 1779, 2682, 2211, 764, 5045, 6298, 2252, 713, 3682, 3337, 4050, 1578, 137, 785, 858, 1163, 465, 5173, 5157, 39, 3356, 3720, 809]"
20,"[735, 6696, 3305, 526, 5607, 4887, 4500, 6754, 2158, 4542, 6534, 4317, 2334, 746, 6539, 2941, 2726, 3731, 1686, 3400, 5946, 4190, 1281, 365, 6748, 6586, 1831, 162, 2556, 75, 2368, 3669, 5215, 2086, 4030, 2315, 3822, 4832, 4540, 5550, 2348, 5641, 885, 5097, 5235, 3272, 1585, 2043, 5664, 3535, 4552, 4154, 2333, 2605, 1673, 6329, 6281, 541, 1249, 5051, 1224, 5545, 3793, 4305]"
12,"[4716, 2250, 1061, 5077, 3017, 313, 3007, 3668, 3719, 3383, 5569, 1085, 3367, 2658, 3952, 1527, 1535, 1761, 2625, 2987, 61, 1791, 442, 3026, 1763, 2299, 3229, 2470, 3596, 3667, 1228, 1063, 3022, 1189, 1836, 2499, 3362, 3393, 89, 3603, 4799, 469, 1905, 1167, 49, 109, 4080, 3247, 841, 1195, 4128, 2986, 1488, 2989, 2946, 414, 1769, 3021, 1456, 3034, 4489, 1758, 448, 1203, 813, 4086, 2253, 3365, 2596, 83, 1881, 3394, 2662]"
24,"[2152, 3381, 4529, 1537, 1580, 2220, 2616, 1930, 2309, 420, 5527, 3351, 1802, 309, 2852, 3009, 3001, 1466, 5167, 5095, 5146, 5446, 4492, 1869, 2123, 4731, 2991, 825, 4076, 3732, 3260, 1495, 3307, 1820, 4366, 3319, 4344, 2656]"
8,"[6248, 3194, 6443, 6272, 2465, 6769, 6774, 5881, 2395, 2736, 4226, 4290, 660, 3864, 1658, 4199, 928, 5266, 6342, 4643, 6673, 533, 576, 5370, 6484, 245, 4211, 5710, 4641, 5374, 5267, 4624, 4262, 4258, 6444, 192, 5702, 1336, 2063, 6775, 2744, 4592, 1347, 5318, 6085, 612, 4928, 3149, 4993, 2049, 985, 534, 5432, 997, 1665, 3467, 4914, 5699, 2819, 4359]"
17,"[5742, 6046, 3137, 3815, 3540, 6368, 2750, 4602, 6501, 4958, 5369, 4949, 6768, 4230, 1262, 6112, 4246, 4965, 5283, 1625, 1626, 2774, 1989, 1620, 205, 5392, 6488, 6001, 1367, 6818, 3520, 3901, 6028, 6717, 2751, 2754, 6478, 2394, 4577, 4248, 6843, 6858, 6073, 3832, 3466, 4610, 4210, 926, 1237, 6000, 6740, 3461, 5330, 6450, 6852, 4977, 3136, 3493, 6451]"
1,"[368, 6338, 494, 2570, 1165, 5944, 784, 5169, 2353, 2578, 4853, 4868, 2143, 1455, 4354, 3790, 2959, 4727, 787, 1544, 226, 1785, 1158, 886, 326, 4768, 3650, 462, 6680, 492, 433, 6557, 3231, 2310, 1373, 6893, 6490, 5089, 5515, 2473, 6598, 649, 4065, 6287, 2591, 645, 1088, 5453, 6704, 4834, 1752]"
19,"[4276, 4283, 3297, 5013, 6869, 4631, 3373, 1125, 3784, 956, 950, 4904, 3782, 2687, 5836, 424, 5748, 5764, 5756, 2423, 909, 1860, 3961, 5037, 5044, 1708, 1351, 214, 5166, 5910, 47, 4629, 222, 2391, 6460, 76, 573, 195, 2816, 2459, 4574, 6463, 5956, 6060, 5469, 5943, 1230, 3470, 910, 5408, 820, 4753, 2042, 3821, 4222, 4150, 3031, 5189, 5592, 5260, 3751, 5344, 1279, 211, 635, 2399, 6665, 2231, 3977, 3928, 5463, 4653, 5931, 5482, 651, 6010, 180, 2801, 5909, 1740, 6838, 3170, 5274, 1292, 4580, 902, 770]"
22,"[4314, 3639, 1986, 6512, 5900, 1741, 2823, 5480, 4109, 417, 4480, 4896, 5107, 6908, 1852, 3282, 6910, 1069, 1486, 4453, 4705, 6334, 626, 307, 3589, 373, 71, 4766, 1517, 5121, 3681, 6233, 3660, 5930, 6229, 1172, 1748, 799, 3621, 1873, 2899, 829, 2967, 1444, 693, 6335, 4805, 6902, 6663, 4341, 768, 3716, 1505, 2939, 3280, 1588, 354, 4696, 2932, 2916, 1766, 5423]"
23,"[2871, 4724, 2853, 763, 5047, 6521, 5843, 6655, 301, 5268, 339, 2503, 1829, 3647, 2011, 5507, 2029, 5820, 2630, 4752, 4071, 5367, 5150, 1152, 2617, 6138, 5140, 2295, 1410, 3303, 323, 1435, 2886, 4049, 2457, 4769, 1052, 1747, 4821, 5493, 2892, 3645, 6362, 1128, 282, 4852, 1889, 1850, 347, 5886, 5340, 2958, 6222, 5915, 2814, 1, 5822, 5246, 2488, 3746, 6549, 6915, 5525, 6616]"
6,"[3962, 6115, 1729, 5732, 1641, 3510, 6797, 3495, 6377, 4952, 596, 6071, 2954, 3076, 4573, 5309, 4221, 1355, 5022, 1706, 1276, 3142, 2699, 3515, 2366, 6819, 2356, 486, 178, 6182, 6154, 1738, 5923, 5336, 3298, 6027, 2789, 3857, 6059, 659, 3291, 4704, 560, 502, 6009, 6672, 6064, 5325, 4946, 6023, 4637, 6392, 6793, 165, 3492, 3148, 3465, 3477, 6038, 5476, 3530, 3167, 3207, 5648, 6653, 4925, 6884, 2411, 6432, 5304, 6410, 1346, 4650, 586]"
