first,second
5,"[669, 2111, 2167, 1893, 431, 4687, 6873, 3945, 866, 1830, 3391, 3737, 3987, 6705, 1882, 2684, 112, 2256, 2125, 4152, 3951, 1452, 3053, 2251, 2002, 2273, 2224, 5939, 74, 2191, 4044, 4355, 2559, 3225, 3417, 529, 1186, 4337, 3597, 4474, 3405, 826, 2484, 1595, 1938, 1464, 3942, 4845, 4883, 1506, 2846, 4859, 498, 4294, 4097, 1558, 295, 1416, 6275, 3562, 5409]"
16,"[6853, 5064, 3673, 2085, 195, 1374, 172, 2905, 910, 1778, 2062, 5645, 1149, 2008, 2327, 5189, 43, 760, 6152, 5919, 971, 4825, 1301, 4979, 3162, 4222, 709, 4181, 1423, 5616, 5671, 770, 1743, 2459, 5748, 2419, 6868, 2383, 6495, 4783, 3079, 950, 1707, 2088, 5909, 1643, 977, 122, 1840, 517, 5277, 937, 3888, 897, 3174, 180, 1988, 3820, 1043, 2019, 5380, 5312, 2635, 1934, 1119, 3112, 6115, 6679, 834, 4309, 1272, 4572, 700, 2473, 3197, 4576, 4932, 1688, 1871, 4728, 2388, 6701, 3787, 2420, 5815, 3116, 5836, 6463, 2389, 5006, 6278, 5225, 5126, 5756, 2056, 2399, 2591, 4630, 2015, 4227, 6639]"
20,"[1731, 5765, 6713, 3813, 3072, 2087, 914, 4663, 5391, 3142, 5625, 6698, 966, 518, 235, 3074, 4941, 2788, 2784, 2331, 5761, 5741, 925, 4545, 1616, 236, 3062, 4948, 6714, 6895, 6492, 4952, 4982, 4233, 3583, 175, 6308, 5737, 2827, 932]"
12,"[608, 4918, 5027, 6118, 1270, 1355, 4220, 3886, 1597, 6476, 3124, 194, 1649, 2667, 5234, 6387, 3460, 6059, 4916, 2032, 222, 1381, 6270, 5026, 3125, 2809, 6364, 1324, 6900, 2396, 3058, 2441, 6685, 4279, 2031, 6361, 2431, 191, 5763, 1015, 3570, 6267, 2771, 2038, 4922, 1644, 3480, 620, 2231, 2374, 6511, 5655, 6716, 6106, 631, 5760, 6091, 5587, 1846, 5796, 614, 152, 4219, 5849, 4652, 6578, 2456, 3963, 2702, 2114, 4182, 3977, 6341, 6795, 3059, 158, 1512, 2700]"
24,"[3579, 3910, 5098, 4214, 4855, 1465, 4692, 767, 5252, 4451, 6232, 5246, 1079, 6149, 2898, 3637, 306, 4711, 2577, 4802, 4501, 1878, 4791, 2537, 2938, 5822, 5529, 828, 3926, 5818, 6213, 5791, 5805, 5367, 36, 325, 2947, 6905, 3268, 5114, 5147, 5908, 2117, 4346, 2617, 6631, 4769, 4773, 1516, 4748, 4159, 4141, 4401, 5968, 6498, 1816]"
8,"[562, 5767, 4306, 1154, 6192, 803, 1231, 6826, 5174, 2841, 416, 1819, 805, 4702, 525, 2881, 2921, 2942, 3284, 2098, 3569, 5837, 4511, 798, 1432, 2293, 4439, 2572, 5947, 4861, 3804, 1304, 6580, 2837, 3620, 4705, 5118, 3296, 4135, 4051, 267, 4555, 4015, 3817, 6920, 94, 1973, 3652, 5382, 5829, 6139, 1013, 5262, 4709, 4778, 5620, 308, 2548, 5065, 2379, 642, 2381, 1413, 675, 6258, 1048, 6540, 5844, 5130, 1847, 4419, 3613, 3612, 6906, 4733, 4384, 4289, 5248]"
17,"[5810, 2263, 5076, 393, 6897, 4311, 91, 6298, 1879, 785, 3251, 31, 646, 758, 1950, 3283, 2476, 477, 5056, 473, 1417, 6296, 5488, 2689, 3615, 4499, 1218, 1074, 4688, 2140, 4058, 1397, 679, 3685, 3710, 4153, 2519, 1105, 1477, 449, 3306, 4521, 871, 290, 3038, 5042, 726, 5527, 384, 5906, 3749, 3720, 3773, 1233, 4165, 4433, 5918, 335, 1031, 3725, 831, 1786, 5924, 3756, 2912, 137, 3382, 4510, 1966, 1939, 1562, 3682]"
1,"[5446, 3342, 2152, 5473, 4529, 2937, 3653, 5069, 2981, 2309, 1428, 5205, 748, 2274, 1792, 2877, 2616, 4891, 70, 3002, 2644, 4478, 5046, 832, 638, 4731, 2175, 795, 2813, 5186, 463, 756, 1823, 762, 428, 1470, 6938, 5855, 1874, 4710, 5851, 2182, 6571, 2991, 2686, 3616, 4406, 3368, 4866, 1820]"
19,"[6163, 3314, 6286, 3329, 5509, 2107, 6224, 6528, 5960, 3879, 4412, 5716, 1851, 6930, 4215, 5888, 2706, 6090, 4820, 4367, 5123, 4758, 5457, 2585, 4813, 6300, 6195, 6836, 6574, 3102, 4446, 6547]"
22,"[475, 3431, 98, 1370, 917, 5232, 4166, 1045, 3415, 3990, 2334, 2838, 4108, 4683, 101, 3921, 5808, 5228, 1951, 5538, 526, 553, 154, 3005, 4938, 4067, 3838, 352, 2323, 1010, 1522, 1794, 466, 616, 3959, 2884, 4192, 2605, 1978, 29, 5558, 3574, 1954, 6231, 503, 5402, 3792, 850, 3547, 4500, 4699, 1521, 2350, 5966, 2726, 5199, 19, 1547, 2995, 2278, 2338, 4129, 1582, 3744, 201, 2347, 3922, 1812, 3223, 875, 818, 3219, 1481, 4665, 3763, 1773, 5163, 4563, 3947, 496, 1033, 3359, 4561, 5172]"
