first,second
5,"[2245, 5144, 1494, 322, 4366, 2666, 3351, 5562, 20, 2234, 1920, 2728, 5056, 5561, 4770, 682, 2890, 2996, 1930, 6576, 2258, 3241, 2547, 3014, 3009, 1869, 2279, 2978, 2644, 1954, 4396, 6246, 2851, 3925, 2529, 6157, 1550, 6263, 1495, 4048, 2309, 5087, 1187, 1176, 2670, 5573, 2627, 2152, 415, 3662, 79, 4406, 2506, 2450, 432, 1121, 5446, 2122, 29, 13, 5516, 5192, 1815, 5912, 1802, 5851, 2162, 4000, 3604, 1179, 3707, 1183, 4045, 5564, 1529, 6692, 4833, 1596, 3721, 4469, 4087, 3680, 3715, 115, 4322, 4153, 1557, 6310, 4562, 6173]"
12,"[2907, 4774, 390, 2926, 4505, 1082, 6624, 6232, 3746, 3308, 6563, 6521, 6194, 5432, 6103, 6632, 5872, 6907, 5140, 6235, 6669, 3627, 5082, 6503, 4711, 421, 4035, 1438, 4426, 6193, 4023, 5780, 4828, 4752, 1442, 5888, 2965, 6536, 6126, 5813, 5053, 6370, 1485, 377, 5476, 4735, 6562, 4725, 6180, 1700, 5611, 2443, 5461, 6068, 2213, 2878, 2903, 3700, 4757, 3911, 610, 6513, 5915, 1090, 4531, 6525, 6155, 6928, 5112, 4033, 6174, 6604, 2700, 1052, 5885, 660, 4804, 5058, 5270, 6149, 1130, 2329, 3313, 6597, 545, 6288, 3298, 2699]"
8,"[1594, 201, 230, 898, 2138, 4743, 6491, 2187, 4523, 1523, 5771, 23, 1719, 5232, 4436, 4328, 4189, 1073, 3761, 3793, 5624, 1370, 4403, 3359, 1579, 2292, 4288, 4444, 1652, 3576, 2350, 1216, 1950, 3990, 4074, 5895, 2144, 3807, 958, 8, 4129, 1782, 875, 3792, 2647, 3066, 3713, 3683, 2727, 2884, 1776, 6124, 1582, 3405, 844, 6146, 3836, 3039, 4456, 101, 5024, 1735, 2494, 2104, 1585, 2135, 2729, 4729, 2198, 4540, 1251, 1760, 4553, 2677, 6292, 1601, 2043, 1824, 3740, 4432, 1175, 2597, 2346, 4919, 2940, 1521, 418, 3932, 1938, 1041, 1564, 2207, 3818, 3437, 851, 1653, 4355, 3424, 6165, 4548, 808, 3982, 74, 1532, 1917, 5940, 121, 538, 4154, 3800, 345, 1604, 1773, 1606, 6509, 3236, 6326, 113, 1425, 3771, 285, 3188, 2914, 3744, 3959, 734, 3769, 1563, 2367, 2468, 1595, 2846, 4041, 1974, 3799, 3822, 5419, 1471, 5614, 1250, 6282, 5251, 202, 5608, 3890, 6539, 4935, 3669, 1045, 5800, 2721, 3671, 6873, 6502, 2044, 5489, 1388, 4146, 2342, 2384, 6614, 6123, 1797, 3734, 1528, 2833, 3547, 440, 5228]"
1,"[2658, 91, 106, 2971, 28, 2850, 780, 1403, 4140, 2889, 872, 2195, 1519, 641, 841, 2676, 1769, 3267, 4496, 5435, 2161, 3243, 3411, 3001, 353, 2598, 2299, 2946, 3271, 3026, 3000, 3246, 3965, 132, 5934, 2608, 3331, 2528, 4325, 108, 4483, 398, 1791, 1908, 2221, 105, 814, 1205, 1565, 1476, 3334, 1497, 1904, 3952, 3989, 3013, 5067, 1037, 2318, 2500, 3718, 5241, 2566, 1228, 4387, 1488, 720, 109, 458, 2501, 731, 4126, 707, 96, 3596, 758, 1881, 3592, 4068, 5195, 836, 1098, 849, 1788, 2639, 1378, 719, 1906, 4047, 4301, 4300, 4492, 89, 5894, 1404, 1106, 789, 1759, 4338, 141, 1462, 6191, 3270, 2298, 2233, 4091, 2505, 4689, 126, 1031, 2625, 1201, 468, 5162, 2596, 6642, 5950, 3004, 1204, 3394, 5924, 2600, 1487, 2986, 3585, 67, 5078, 2650, 5577, 452]"
6,"[346, 2536, 2956, 3288, 1721, 3695, 3168, 5459, 4377, 759, 5197, 2215, 6703, 5263, 1157, 5822, 5523, 2192, 6247, 280, 1413, 2203, 728, 6530, 4424, 4391, 767, 2398, 4381, 4767, 5149, 4289, 4692, 1732, 6166, 5904, 1382, 3104, 4934, 3268, 4401, 3045, 4739, 5798, 1463, 5297, 3943, 4037, 3491, 3248, 5451, 1113, 1832, 4741, 5110, 5506, 2229, 1050, 5090, 6210, 2201, 6678, 5158, 4791, 4511, 53, 2147, 5791, 1089, 6205, 3688, 3904, 3804, 1101, 3030, 522, 1807, 2936, 4877, 2770, 4056, 5706, 3278, 3535, 4356, 3953, 358, 4440, 5661, 4374, 5762, 5051, 3620, 674, 5941, 5534, 3696, 4228, 2541, 11, 6498, 304, 4010, 4718, 6350, 2960, 2270, 4815, 5216, 2891, 5230, 1048, 367, 6826, 791, 6718, 1482, 6875, 4920, 5243, 4357, 6540, 3588, 5367, 6552, 1135, 2938, 262, 2660, 5261, 1013]"
11,"[2516, 3389, 2888, 86, 1096, 402, 4341, 3710, 1558, 4740, 317, 3938, 1105, 4467, 1146, 5593, 48, 6189, 2682, 337, 4790, 833, 4755, 4323, 4311, 289, 3749, 4786, 5194, 2493, 794, 3694, 2551, 797, 3253, 1472, 2510, 1902, 417, 2579, 2854, 2675, 3685, 5488, 3015, 6271, 2223, 1220, 1830, 5066, 4450, 2134, 4304, 1813, 45, 646, 2166, 3370, 39, 6506, 31, 2840, 6570, 305, 30, 1895, 2509, 5438, 4849, 1118, 1475, 4839, 3382, 2558, 4001, 1578, 5426, 2583, 5581, 3754, 1163, 2862, 4493, 447, 802, 3337, 4330, 1549, 701, 290, 4879, 1194, 2129, 2538, 4433, 2661, 6666, 2948, 1581, 1863, 5104, 3285, 4336, 1534, 1545, 3634]"
9,"[6388, 4250, 5239, 4284, 4685, 5683, 2363, 3505, 3802, 6672, 3482, 1329, 5022, 4547, 1389, 4650, 3137, 6059, 1681, 3510, 149, 5653, 3557, 6419, 4238, 1386, 4992, 1611, 4302, 5705, 5012, 3504, 4957, 6398, 6474, 2799, 3549, 6027, 4995, 2394, 1569, 2102, 4247, 6757, 1269, 3167, 1365, 3182, 3144, 1367, 6451, 3509, 3148, 4943, 4202, 4291, 3518, 598, 2745, 4955, 5565, 3550, 5405, 6058, 6884, 6080, 5990, 3862, 3122, 2766, 3466, 6714, 4225, 2730, 245, 3856, 1620, 4210, 4239, 3141, 6775, 6731, 3882, 2786, 3176, 3884, 5681, 4953, 946, 929, 933, 3827, 1261, 1683, 2775, 5991, 4999, 1291, 6039, 3496, 3900, 4952, 6008, 4577, 2366, 3866, 3815, 6036, 4970, 4942, 2748, 3913]"
3,"[5704, 3852, 2696, 1575, 3118, 5393, 581, 3447, 6792, 3899, 3920, 5032, 5259, 3369, 6200, 1988, 578, 572, 1371, 1274, 5397, 4905, 4234, 487, 673, 2724, 1713, 658, 4549, 2698, 2742, 3244, 1814, 3736, 5815, 5364, 765, 3808, 4139, 4095, 4635, 1284, 2303, 6510, 3127, 1616, 5597, 5572, 1617, 6395, 4680, 1531, 3222, 2719, 4906, 6646, 4933, 4185, 5327, 276, 2240, 2772, 3778, 6408, 278, 3264, 3956, 3858, 2725, 6003, 5785, 2624, 4506, 2106, 183, 407, 2087, 4546, 6699, 966, 2759, 5992, 2388, 5545, 3452, 3860, 4996, 1260, 5783, 3923, 3071, 4545, 3173, 3515, 4854, 2385, 5302, 515, 264, 5758, 6589, 3907, 5600, 3095, 4947, 2004, 5646, 3201, 2325, 1996, 4969, 6115, 3258, 5244, 1248, 932, 2845, 2442, 119, 176, 5300, 6755, 5978, 2099, 5008, 6693, 925, 1690, 3433, 3859, 1707, 2776, 3765, 2016, 1726, 968, 1254, 1072, 1159, 5741, 5250, 2058, 3449, 530, 3463, 2304, 967, 3883, 5306, 5399, 3197, 6710, 5626, 1712, 5537, 4137, 1618, 1374, 5425, 3489, 336, 4658, 1278, 5787, 2093, 1241, 1567, 1280, 3554]"
7,"[450, 1964, 3379, 1138, 4706, 2578, 3697, 3937, 3184, 2631, 4518, 6347, 6504, 5878, 3010, 4028, 2932, 4768, 181, 2486, 5549, 2994, 3266, 438, 1743, 326, 2194, 5182, 4109, 2694, 3621, 4638, 3562, 645, 4766, 3126, 5829, 2202, 4337, 1994, 6304, 7, 3191, 6705, 1441, 923, 3231, 4721, 827, 494, 3032, 1017, 5107, 1491, 6219, 1181, 2149, 2610, 4459, 1165, 554, 266, 5207, 3643, 3343, 6242, 2899, 5889, 5054, 1821, 3835, 6529, 649, 2157, 3639, 1746, 4149, 387, 805, 2823, 3741, 6619, 299, 3958, 362, 749, 2061, 4351, 3692, 5936, 3584, 1150, 1748, 1455, 3187, 4488, 2246, 1783, 2060, 2575, 624, 4830, 2681, 2521, 1043, 1302, 2153, 3323, 310, 4805, 4399, 5487, 4738]"
4,"[1381, 4298, 6726, 253, 4567, 1717, 2762, 6269, 6293, 5113, 4256, 6091, 533, 559, 2424, 4257, 3912, 3514, 6226, 3069, 4929, 6569, 2009, 1668, 6090, 620, 6144, 882, 3169, 6118, 241, 2064, 246, 1568, 4303, 2326, 5678, 3915, 2376, 5455, 2083, 548, 4980, 5799, 985, 6195, 931, 5475, 5655, 6724, 4647, 6728, 215, 1306, 4918, 3539, 204, 6712, 6181, 5091, 2018, 1572, 612, 2397, 4746, 4758, 5343, 2953, 4224, 190, 4207, 1003, 242, 6784, 1315, 247, 2107, 3189, 2395, 2078, 6102, 5026, 6742, 1710, 224, 5632, 3941, 5686, 936, 3121, 986, 2071, 5809, 949, 5497, 6156, 983, 2705, 3262, 4917, 998, 6861, 2070, 2406, 6838, 2037, 5604, 2374, 1665, 1270, 6224, 4583, 991, 6114, 3628, 935, 2931, 5612, 4219, 2702]"
