first,second
5,"[697, 4451, 2375, 4214, 4339, 1901, 6827, 5837, 3168, 4374, 6879, 2205, 3288, 1413, 1577, 4778, 1050, 1953, 5057, 3035, 1295, 6, 6651, 4542, 5389, 3127, 517, 375, 3317, 1914, 6331, 5122, 4377, 746, 1266, 674, 4934, 2837, 4381, 6018, 738, 2171, 6746, 5367, 4010, 5791, 1382, 2617, 365, 6748, 3421, 2295, 4695, 2055, 1245, 1171, 5910, 416, 5363, 2556, 6166, 75, 5512, 2481, 6940, 5215, 5529, 847, 4142, 5493, 4186, 3904, 2530, 293, 4030, 1847, 6675, 1985, 5884, 766, 5252, 2725, 4384, 1458, 900, 2557, 4739, 5762, 2348, 6906, 2525, 1712, 4132, 5235, 5421, 2004, 2382, 5929, 5236, 5664, 4576, 2201, 3535, 2770, 2333, 6530, 2936, 356, 3804, 651, 1814, 1510, 739, 1687, 6242, 5290, 655, 1676, 2188, 5051, 459, 712, 5822, 1113, 6871, 3164, 2488, 4159, 2057, 3781, 1721, 5603, 6915, 2817, 3560, 3820, 770]"
12,"[4716, 2250, 1061, 5077, 3017, 313, 3007, 3668, 3719, 3383, 5569, 1085, 3367, 4871, 2658, 3952, 1527, 1535, 1761, 2625, 2987, 61, 1044, 1791, 442, 3026, 1763, 2299, 3229, 2470, 3596, 3667, 1228, 1063, 3022, 1189, 1836, 2499, 3001, 3362, 3393, 89, 3603, 4799, 469, 1905, 1167, 5045, 49, 109, 4080, 3247, 841, 1195, 4128, 2986, 1488, 2989, 2946, 414, 1769, 3021, 4731, 1456, 3034, 3732, 4489, 1758, 448, 1203, 813, 4086, 2253, 3365, 2596, 4093, 83, 1030, 1881, 3394, 2662]"
8,"[5742, 5027, 3137, 3815, 3540, 6368, 2750, 3478, 4602, 931, 6501, 4922, 4958, 2387, 5369, 6739, 4949, 6768, 4230, 6769, 1262, 6112, 5732, 6089, 4246, 4965, 6387, 5638, 3510, 6774, 5283, 6797, 3495, 6377, 1626, 1568, 2774, 4547, 1989, 6071, 1620, 205, 4247, 2954, 5392, 6488, 6001, 4199, 4573, 1367, 1355, 928, 6818, 3520, 3901, 4013, 5022, 6028, 1706, 6717, 2751, 5669, 2754, 1276, 6478, 2366, 2394, 4577, 576, 5370, 6819, 4248, 6843, 6858, 6484, 245, 6154, 6073, 2357, 4211, 5336, 3298, 3832, 6027, 3466, 4610, 3857, 6059, 570, 659, 5224, 4210, 560, 5786, 991, 6849, 6009, 926, 6672, 6064, 1237, 5325, 6000, 4637, 2063, 6775, 514, 6793, 165, 6740, 3148, 3461, 3465, 4202, 6085, 3477, 3149, 986, 3530, 5330, 3167, 6450, 5432, 6852, 997, 6716, 4977, 1268, 3207, 3136, 3467, 3493, 5648, 6029, 6451, 4925, 6884, 2411, 6432, 1346, 4650, 586]"
1,"[2380, 4283, 3297, 5013, 4644, 368, 6869, 5023, 6338, 1959, 3282, 3132, 3373, 2570, 1125, 1645, 4466, 2007, 1165, 3784, 956, 950, 5944, 1701, 784, 603, 4303, 6293, 3782, 5455, 2687, 5169, 5836, 5563, 5587, 3076, 1762, 424, 2353, 5748, 2578, 909, 4853, 4868, 5121, 1860, 3961, 5037, 5044, 1351, 1348, 214, 2143, 1455, 6923, 2410, 4354, 5166, 4629, 3790, 222, 3748, 2959, 76, 4727, 573, 5035, 195, 787, 2459, 4574, 4686, 6545, 1544, 226, 5469, 1785, 5760, 5943, 2771, 1158, 886, 326, 4768, 910, 5408, 820, 4753, 2042, 3650, 3821, 6609, 462, 224, 4150, 3657, 6680, 492, 3031, 5189, 433, 6557, 5592, 5260, 3231, 3751, 5344, 2310, 1279, 211, 635, 1373, 6893, 6665, 2231, 6490, 3977, 3928, 2573, 5463, 4653, 5931, 5089, 6010, 180, 4701, 2801, 5515, 2473, 6598, 5909, 1740, 266, 4065, 2762, 1982, 3170, 6287, 5274, 2591, 645, 1088, 939, 4580, 5453, 902, 6704, 4834, 1752]"
6,"[6698, 5397, 3605, 6713, 6115, 264, 1688, 1255, 4203, 2827, 1616, 5204, 6622, 1641, 3554, 3455, 2388, 4952, 596, 4904, 1630, 4546, 2753, 2788, 1731, 2400, 3174, 6714, 4722, 5309, 4221, 5764, 4204, 3814, 4903, 5406, 3735, 6636, 5625, 2624, 5589, 3092, 3142, 3515, 6121, 1514, 2020, 5306, 4951, 1987, 2391, 5877, 4497, 2356, 486, 1751, 6460, 5327, 178, 6184, 5913, 1738, 6463, 5923, 3801, 4095, 4847, 6252, 2789, 1274, 3651, 1230, 6589, 277, 1618, 895, 502, 5128, 2716, 3659, 4222, 966, 6755, 3047, 2414, 4684, 6408, 1979, 5729, 3451, 4618, 1241, 4946, 3765, 6023, 2844, 5366, 122, 6392, 6568, 1238, 2399, 4590, 3492, 5482, 5301, 2402, 673, 6709, 2784, 164, 6038, 5978, 4864, 3020, 2103, 3078, 207, 6653, 1349, 5307, 897, 2522, 3074, 3449, 5304, 6410, 6744, 3201, 3899, 388]"
11,"[1506, 3333, 352, 5982, 735, 6696, 1634, 1913, 4911, 5939, 5940, 3305, 1652, 5521, 5172, 526, 3446, 2940, 2668, 5607, 275, 3563, 74, 4887, 4500, 3752, 1604, 969, 3424, 6754, 4838, 2158, 4442, 4430, 6534, 6702, 5546, 4317, 6276, 2334, 5543, 3671, 6539, 5240, 1582, 2941, 3737, 4294, 3582, 3734, 1025, 2726, 1988, 868, 1912, 3731, 1686, 4415, 3400, 8, 5946, 4190, 483, 6708, 1281, 2198, 6586, 1742, 3391, 1541, 898, 1481, 1831, 162, 2984, 3803, 3359, 2306, 5556, 2313, 2368, 4324, 1225, 3669, 5937, 4902, 903, 888, 2709, 2613, 1258, 499, 6291, 4138, 3744, 2086, 1028, 893, 5976, 1508, 2315, 4456, 5199, 5613, 2256, 3822, 4539, 4832, 781, 4134, 3405, 4540, 3768, 5550, 528, 1633, 120, 2485, 5390, 5641, 3775, 2381, 885, 5097, 4355, 3272, 525, 169, 104, 6583, 6491, 1585, 1539, 2943, 5528, 2043, 1797, 2831, 4552, 2367, 4154, 1408, 892, 617, 1252, 916, 2605, 1960, 5489, 1254, 1673, 6329, 6281, 159, 200, 541, 539, 1507, 1249, 4880, 1224, 6354, 3935, 3198, 5545, 271, 3793, 87, 3213, 498, 4305, 2677, 3817, 4707, 2135, 3219, 2044]"
9,"[4314, 3639, 1986, 6512, 5900, 1741, 2823, 5480, 447, 4109, 417, 1071, 4480, 4896, 4765, 5107, 993, 1019, 6908, 1852, 911, 494, 4801, 6910, 1069, 1486, 4453, 5911, 1436, 4705, 6334, 6192, 626, 3652, 2862, 307, 1560, 3589, 5134, 373, 71, 4766, 4428, 1517, 3681, 6233, 472, 3660, 5930, 6229, 1172, 6251, 2533, 830, 2992, 1049, 1748, 799, 4782, 265, 5096, 3621, 1873, 5535, 5070, 4881, 796, 2899, 1779, 829, 2967, 3607, 764, 2134, 1444, 693, 2252, 5524, 392, 2349, 6335, 713, 1548, 4805, 3701, 1047, 153, 166, 2526, 4405, 6902, 6663, 3955, 4050, 4341, 785, 5816, 6311, 768, 465, 3716, 5173, 1505, 2939, 5093, 2924, 792, 5104, 3280, 5227, 1588, 6160, 649, 3356, 6275, 354, 4696, 1419, 2932, 628, 1766, 5423, 809, 2484]"
3,"[1309, 6046, 6814, 1310, 6401, 6487, 3151, 4975, 3885, 6443, 6802, 6428, 6442, 4971, 1625, 2736, 6468, 4226, 3872, 5371, 3864, 6469, 5651, 3830, 1658, 4960, 6092, 4599, 3500, 3522, 6400, 3896, 4261, 2051, 6804, 3521, 2429, 3876, 6673, 5722, 4974, 5637, 5374, 2053, 6806, 5700, 4262, 2739, 2417, 5676, 4264, 6013, 6444, 1662, 6366, 5317, 2408, 219, 6759, 5846, 5694, 4592, 6414, 6053, 5318, 2797, 6426, 4993, 3829, 4959, 6441, 3497, 4973, 4914, 5656, 1663, 3152]"
7,"[4407, 6248, 4625, 3194, 2701, 4651, 6272, 2069, 2465, 5881, 4817, 6618, 6712, 2395, 2082, 4290, 6111, 6547, 660, 5018, 4762, 1666, 3912, 6114, 5610, 2705, 259, 2034, 3628, 5468, 5266, 6033, 4240, 6342, 190, 1859, 1844, 4643, 6067, 1313, 4597, 3160, 533, 5806, 4421, 4915, 4749, 611, 6528, 3893, 5710, 4641, 5267, 4624, 4258, 6784, 6913, 6174, 6674, 192, 6100, 2068, 5083, 4531, 4256, 6626, 6841, 5702, 1336, 4652, 4408, 215, 6573, 2744, 1347, 5355, 6226, 6758, 2079, 2095, 612, 4224, 4928, 2049, 2807, 6861, 5457, 985, 534, 6097, 1665, 3789, 4257, 4756, 3879, 2463, 6605, 5699, 4268, 2819, 3161, 6208, 4359]"
4,"[3411, 3331, 2663, 6297, 1010, 477, 3792, 679, 78, 5890, 3929, 5198, 1946, 4156, 1031, 1552, 5782, 1173, 6191, 2566, 2474, 136, 5593, 5241, 3710, 4717, 1812, 4074, 4, 3755, 2285, 1773, 3283, 2221, 6178, 3364, 637, 5542, 4125, 1966, 5527, 4780, 6691, 3064, 5912, 3739, 1759, 5771, 4073, 686, 859, 4485, 3038, 4872, 761, 1501, 106, 880, 3218, 4045, 6231, 1522, 1786, 5810, 6151, 5522, 5864, 1736, 6230, 3604, 5202, 3048, 2682, 2211, 1062, 3968, 160, 107, 6298, 1584, 335, 4130, 129, 3250, 4510, 1969, 1593, 2475, 663, 3682, 1077, 1404, 3337, 2655, 3749, 5076, 1578, 4492, 137, 91, 858, 1869, 2597, 1163, 5934, 825, 5067, 2150, 4507, 2678, 5157, 209, 2144, 4129, 39, 3725, 641, 3979, 5041, 2160, 385, 2949, 3216, 3005, 5596, 3720, 2868, 1566, 3988, 5555, 2268, 482, 2633]"
2,"[2152, 314, 1457, 3680, 3381, 4529, 1537, 461, 622, 1525, 4327, 1580, 57, 2990, 1140, 2220, 2616, 6310, 3044, 1930, 44, 2309, 420, 5158, 1498, 3006, 496, 3351, 1818, 6939, 2234, 4419, 3763, 320, 1802, 2567, 309, 2860, 811, 3346, 2852, 3009, 1466, 5167, 5095, 1494, 5146, 5129, 4454, 4410, 5105, 5446, 650, 2686, 3707, 5870, 3703, 2123, 2991, 1375, 4076, 401, 3260, 1495, 3307, 1820, 505, 4366, 3319, 4344, 2319, 1070, 3238, 715, 1197, 4833, 386, 2656, 2880, 2974]"
