first,second
5,"[3884, 2770, 3100, 4886, 2107, 2424, 1270, 3098, 254, 6861, 4930, 6473, 4922, 4878, 3464, 5258, 4185, 4531, 2383, 3074, 2095, 5400, 3430, 3664, 3134, 6884, 5738, 3142, 6841, 966, 3124, 3808, 2433, 3549, 3070, 5981, 2359, 3116, 4545, 6672, 1652, 2792, 549, 5019, 2055, 1674, 4911, 5340, 2815, 969, 6892, 4631, 1670, 5627, 3438, 4630, 5031, 1279, 4183, 5029, 3083, 2762, 5757, 5018, 4385, 1687, 6828, 494, 1981, 2726, 3086, 2365, 1668, 5787, 4202, 2016, 1282, 1650, 6348, 3075, 3544, 3818, 3092, 973, 5628, 2078, 1997, 6855, 3445, 1293, 4189, 1361, 4550, 6107, 574, 3082, 2062, 2385, 3069, 5635, 6108, 1651, 1998, 3534, 5748, 5978, 1325, 4940, 4158, 2434, 6693, 5384, 558, 3077, 6645, 2007, 4534, 2407, 4576, 4651, 1648, 4188, 1297, 4662, 6710, 5344, 4596, 1276, 5976, 4184, 611, 6842, 4186, 3836, 4219, 3914, 3173, 3164, 5655, 5406, 3463, 5632, 2041, 4549, 5013, 4303, 4193, 578, 2397, 5007, 5012, 4921, 5881, 6118, 6826, 2777, 5247, 976, 548, 565, 931, 2767, 6724, 2096, 2336, 983, 2771, 6659, 6723, 5986, 3448, 4581, 2070]"
12,"[4590, 3466, 3893, 6418, 6732, 6068, 4241, 4546, 2361, 2788, 2766, 6003, 2752, 5279, 3453, 5368, 1620, 5630, 4914, 2745, 3468, 4950, 6748, 5704, 4991, 4998, 6352, 4208, 2751, 3815, 3462, 6089, 4976, 3491, 942, 2741, 5657, 3108, 4977, 5016, 6782, 2780, 6867, 5721, 3161, 4233, 6791, 5300, 990, 6372, 6106, 2797, 4195, 3519, 6460, 6371, 5722, 6019, 4593, 5699, 6714, 6363, 2437, 3842, 3825, 5356, 1681, 4571, 2410, 4285, 6752, 2759, 1288, 3529, 6415, 3505, 6463, 5303, 4947, 2436, 4939, 3860, 6742, 4532, 4605, 3471, 5280, 2753, 2742, 6389, 3177, 6859, 3432, 5642, 6033, 5330, 4969, 6375, 4611, 3472, 6081, 3840, 5625, 6373, 3160, 6745, 4573, 6823, 4614, 3861, 6011, 2790, 6825, 6673, 6370, 3456, 5345, 3885, 4598, 943, 6374, 3541, 3119, 4251, 3843, 3853, 4201, 2414, 4223, 1365, 6744, 5292, 2798, 1626, 6111, 5989, 2412, 5626, 3178, 1311, 2048, 3499, 3489, 3144, 5281, 6082, 2786, 2068, 5352]"
8,"[2657, 5520, 408, 78, 2823, 2137, 4435, 4057, 2994, 803, 796, 4789, 2912, 2157, 5426, 854, 3051, 1077, 5449, 834, 3692, 4003, 5552, 1938, 5145, 3032, 3286, 1040, 3705, 1519, 4083, 3283, 1766, 6896, 804, 2284, 737, 1869, 30, 1066, 6902, 1916, 6641, 1041, 450, 1847, 2191, 2604, 4373, 5201, 1446, 2675, 3243, 5910, 2262, 6263, 2283, 799, 2195, 4109, 2181, 3699, 1898, 1787, 2300, 2663, 6642, 5072, 5807, 2232, 2861, 2168, 4708, 116, 1779, 1800, 4044, 4858, 853, 1047, 6280, 5054, 5808, 669, 5171, 5436, 6241, 1518, 1534, 1110, 1500, 392, 3673, 6298, 643, 319, 805, 5875, 39, 5431, 1797, 723, 1577, 2993, 697, 1541, 2971, 2225, 3640, 2512, 4721, 74, 3304, 2226, 3244, 296, 4814, 2588, 1400, 2207, 53, 1456, 2632, 1208, 1762, 1964, 5803, 3720, 387, 3030, 1424, 1772, 3336, 395, 678, 1754, 5065, 693]"
1,"[3941, 6242, 4494, 909, 1232, 899, 5523, 3187, 170, 5582, 1235, 3372, 6541, 5932, 1733, 5251, 6266, 869, 5071, 2118, 916, 5574, 3626, 1973, 126, 1406, 185, 4854, 1919, 5397, 3339, 3215, 1491, 2092, 6243, 2689, 3388, 3691, 765, 492, 2110, 4148, 6899, 2104, 3724, 5962, 4504, 169, 4152, 5053, 3960, 2133, 3963, 529, 167, 1828, 4484, 2701, 4698, 3745, 3773, 959, 2329, 2266, 2871, 5042, 485, 5544, 4892, 3910, 6205, 5236, 3712, 4500, 977, 4136, 4825, 168, 281, 2456, 6905, 1099, 343, 4505, 4333, 1592, 2097, 3391, 1225, 3248, 5232, 4164, 2148, 5450, 6283, 2482, 5128, 6706, 2566, 3284, 3048, 5422, 6315, 4510, 522, 1948, 3635, 2086, 1972, 1753, 5004, 5390, 4675, 4520, 6690, 4356, 5499, 6288, 5203, 1707, 227, 864, 5421, 608, 3799, 3944, 635, 1979, 1604, 5416, 1410, 160, 3926, 848, 3208, 6678, 994, 5418, 3990, 4153, 5586, 1969, 1413, 3961, 1743, 1035, 3384, 2829, 6220, 6702, 5965, 2878, 4860, 870, 1142, 6145, 1713, 4882, 3063, 5163, 2897, 1240, 5592, 517, 270, 5237, 6144, 898, 3577, 166, 631, 4177, 2327, 5572, 3937, 5023, 6282, 3236, 2687, 3387, 6245, 4125, 4881]"
6,"[5851, 5494, 1883, 1795, 4454, 4030, 6206, 2188, 1197, 2212, 394, 2936, 1405, 3340, 381, 4048, 4703, 2203, 5914, 2877, 4111, 2254, 2220, 4450, 3703, 6939, 3661, 4410, 5517, 3276, 2222, 4695, 1038, 1171, 251, 1831, 6524, 4142, 1874, 6317, 773, 2219, 1818, 6173, 3295, 728, 6520, 1806, 5481, 350, 1376, 4434, 4733, 3933, 1502, 5134, 2295, 4381, 1458, 390, 4846, 4027, 3972, 11, 1135, 5383, 6276, 3619, 5161, 3707, 5235, 330, 4366, 4080, 5797, 1478, 425, 6246, 4064, 459, 1798, 704, 5105, 2640, 677, 6215, 3641, 6635]"
11,"[1993, 212, 1351, 5231, 6166, 196, 1374, 6700, 1344, 118, 3838, 5262, 2683, 1630, 1357, 3436, 4845, 1720, 2700, 1617, 6115, 4913, 4650, 3107, 1316, 2458, 3915, 268, 5433, 2101, 2816, 571, 3054, 6329, 5417, 3114, 4157, 5226, 3415, 3081, 6518, 1641, 2758, 1368, 5361, 2341, 1266, 3930, 4298, 240, 1611, 997, 5495, 4248, 4290, 3207, 5455, 207, 4511, 1627, 4664, 940, 4168, 2838, 1372, 2465, 2441, 242, 956, 3890, 2089, 4556, 5234, 4561, 933, 5755, 1976, 4416, 4661, 4440, 2320, 606, 1988, 2459, 605, 623, 1959, 3171, 3093, 1251, 2799, 5394, 3195, 3061, 5246, 1634, 5420, 1606, 2330, 4884, 3779, 1589, 6334, 225, 5970, 2435, 199, 3058, 4139, 3824, 2367, 1995, 4555, 6117, 921, 5961, 3426, 5817, 3806, 3939, 550, 1349, 3907, 150, 2707, 3962, 2462, 2090, 3889, 5476, 176, 2727, 1353, 3922, 164, 229, 4732, 4864, 3440, 2722, 1259, 3805, 6129, 5612, 552, 2042, 1575, 1273, 1274, 661, 178, 554, 541, 1738, 5051]"
9,"[6878, 3621, 3704, 6872, 2963, 5143, 4132, 6607, 6255, 4392, 6299, 25, 4823, 5853, 5182, 6140, 383, 1440, 378, 4354, 6219, 3971, 2530, 3927, 5880, 4386, 5085, 3606, 4452, 1152, 5905, 4479, 4063, 4788, 2202, 5871, 2959, 3330, 5876, 1866, 1439, 6550, 5834, 4413, 4447, 6539, 6556, 3657, 5458, 6265, 5814, 6217, 3759, 1821, 3693, 753, 3642, 1082, 5884, 6683, 6522, 5130, 6256, 6663, 3629, 2607, 1890, 3315, 5136, 6567, 6582, 5944, 6920, 43, 5850, 770, 4713, 1445, 1861, 1484, 4423, 1834, 5877, 1117, 2568, 1835, 5121, 379, 3654, 3289, 1971, 5118, 5901, 4751, 4778, 4397, 6580, 1889, 4040, 4862, 5096, 6150, 2193]"
3,"[5506, 6142, 5116, 6141, 6548, 4819, 3645, 6235, 5849, 5261, 6569, 6238, 561, 6530, 6168, 2892, 4755, 6552, 1849, 2214, 6536, 5082, 4062, 5153, 6185, 2072, 5857, 5798, 5848, 2909, 6545, 4307, 3746, 3940, 1089, 3747, 6546, 5830, 3172, 2217, 4781, 5484, 4711, 5826, 4368, 6549, 6200, 6226, 5141, 4023, 6565, 6169, 6212, 4725, 5842, 2900, 5799, 6148, 6606, 6619, 6656, 3312, 2073, 3648, 4735, 6143, 4039, 5923, 4404, 6579, 5058, 5931, 5872, 6846, 1716, 2005, 6928, 4016, 6498, 4390, 5792, 6269, 6113, 3268, 5382, 4021, 5217, 6911, 4775, 3722, 6547, 1845, 6558, 6575, 4363, 4746, 5948, 6149, 3665, 6557, 6544, 4736, 5622, 6323, 2933, 5883, 6669, 5475, 6929, 3628, 5487, 6531, 5654, 5510, 6627]"
7,"[4198, 6454, 6358, 4636, 6032, 6427, 4239, 6028, 6021, 6764, 5329, 6053, 6024, 5685, 4928, 6052, 4908, 3501, 5001, 4236, 6438, 6073, 4259, 6423, 6492, 5650, 6805, 3871, 3475, 6734, 6456, 1661, 3514, 4967, 6078, 4985, 6797, 6430, 4601, 3830, 6733, 6761, 6379, 6086, 5701, 3521, 4942, 6486, 6811, 5336, 2052, 3145, 3467, 6765, 2736, 5700, 3152, 5357, 3517, 5665, 3876, 5678, 6042, 6007, 6730, 6411, 6475, 3874, 6432, 6814, 4958, 5282, 4586, 6400, 6818, 1695, 6786, 5709, 3487, 6800, 6026, 5715, 4607, 6047]"
4,"[1050, 2602, 1147, 5939, 4046, 1892, 6314, 5165, 2676, 291, 132, 2863, 3017, 1227, 6296, 488, 1032, 4074, 56, 615, 2639, 5055, 1020, 1556, 3213, 148, 3412, 2112, 2312, 5518, 509, 3755, 271, 2884, 3226, 4717, 2468, 143, 4870, 476, 1218, 4134, 1224, 76, 6178, 2649, 5593, 102, 4687, 280, 5209, 4859, 1228, 6509, 5202, 6705, 4309, 1231, 2474, 481, 1742, 4093, 1159, 2501, 484, 1542, 2130, 5576, 3607, 1018, 3761, 5583, 2105, 29, 3793, 621, 115, 4682, 5555, 4315, 3710, 3765, 1770, 3422, 4849, 1408, 1755, 5228, 2294, 2856, 2497, 5925, 4131, 4490, 3987, 3563, 3590, 3562, 847, 2239, 482, 861, 2496, 510, 4114, 1773, 1226, 2272, 124, 264, 4463, 5577, 806, 6887, 3216, 5434, 2535, 3205, 2292, 3993, 1724, 2120, 1918, 1878, 4842, 3406]"
