first,second
5,"[2896, 6638, 716, 6582, 3314, 4306, 752, 2586, 3642, 4455, 6598, 5089, 2921, 2206, 2259, 709, 5837, 5488, 1114, 3002, 7, 1851, 6137, 2572, 4040, 5947, 2911, 6580, 1441, 5487, 3620, 2961, 6872, 5142, 4705, 382, 361, 5118, 2184, 3, 764, 1083, 6920, 3269, 5829, 3621, 6189, 1119, 58, 2204, 3330, 6537, 6254, 2617, 2193, 5790, 2918, 6183, 6876, 5880, 718, 6164, 4442, 5781, 5836, 6574, 6619, 5942, 4386, 37, 5126, 372, 5526, 2591, 4079]"
12,"[5795, 5064, 608, 3910, 2629, 4852, 5453, 5098, 4724, 6192, 4214, 4855, 6284, 6286, 5509, 2434, 3646, 5197, 610, 3303, 388, 2327, 5189, 5491, 1844, 6877, 531, 5960, 5252, 4451, 3722, 4825, 5441, 1079, 6149, 6687, 2898, 3637, 4511, 4711, 3631, 2577, 222, 1848, 6270, 3396, 4501, 4791, 2537, 2938, 6239, 4861, 6900, 5598, 1304, 6654, 5529, 4783, 2837, 5909, 1643, 5872, 122, 3926, 4530, 5805, 1840, 5763, 1015, 3570, 4307, 6267, 5367, 3105, 36, 5888, 3671, 620, 6652, 4638, 196, 4820, 6177, 3417, 6511, 6180, 4015, 4699, 6657, 6160, 3268, 5114, 5382, 2179, 4817, 4811, 5623, 4778, 4653, 5147, 5908, 1846, 2548, 6679, 1, 1242, 2886, 5796, 2011, 4741, 4755, 4043, 5849, 1153, 4769, 2954, 1413, 4728, 4773, 6300, 5594, 501, 6258, 2420, 5815, 6540, 5130, 4419, 2908, 1442, 4141, 5892, 6278, 6341, 6906, 6695, 6667, 4401, 4828, 6703, 5968, 5922, 6498, 4289, 6643, 3418, 1512, 3281, 6639]"
8,"[669, 3673, 3941, 3579, 4707, 2167, 5949, 4150, 2905, 1778, 5174, 1810, 1406, 1819, 805, 3227, 4702, 1830, 3391, 5808, 282, 43, 760, 2693, 6152, 3283, 1951, 6850, 2680, 4879, 2667, 4011, 1514, 3569, 2517, 1423, 2135, 798, 643, 4834, 770, 112, 2256, 2293, 5581, 5540, 999, 3951, 2504, 4102, 2452, 3039, 3992, 1898, 2251, 5552, 5803, 2224, 5939, 3296, 2191, 6231, 4135, 1500, 4051, 784, 1057, 2559, 4314, 5527, 6880, 1043, 2280, 2231, 4017, 3720, 1973, 3652, 5515, 5511, 1934, 6139, 4337, 5444, 1013, 3597, 3043, 1864, 4709, 1017, 4853, 834, 2278, 1595, 1938, 3242, 1464, 3056, 2473, 5893, 1531, 4822, 4883, 3231, 2310, 1506, 2846, 3963, 2270, 5528, 2145, 2914, 1847, 1481, 4097, 3977, 3756, 4308, 4733, 1416, 6275, 365, 4384, 5248]"
1,"[6163, 5267, 5112, 5115, 3329, 1843, 4022, 6224, 4358, 6528, 6565, 5861, 6232, 6273, 4412, 3322, 6526, 2962, 2216, 6208, 5822, 6914, 6213, 6930, 4806, 6162, 4363, 4367, 5654, 4754, 5123, 4758, 6223, 5457, 6631, 2585, 1871, 4813, 6578, 6187, 6195, 6188, 4446, 2926, 4020, 6547, 5824, 6101, 6925]"
6,"[6853, 1731, 2085, 195, 581, 1374, 2458, 5544, 562, 5767, 504, 172, 5027, 917, 2444, 4166, 910, 2057, 1264, 3415, 5600, 3813, 2819, 2334, 2838, 525, 5190, 2008, 3072, 3921, 1597, 543, 155, 5919, 2461, 5538, 971, 194, 2342, 1301, 2076, 5234, 555, 4284, 3162, 541, 6328, 2684, 1992, 526, 553, 1919, 6712, 1381, 4290, 5026, 4506, 2828, 5419, 2459, 3795, 2419, 6868, 2460, 3804, 6184, 659, 3058, 3047, 2441, 950, 6685, 1707, 2088, 1961, 977, 6686, 3053, 4556, 4192, 1585, 572, 3171, 5791, 2002, 517, 6844, 937, 4388, 938, 6517, 3888, 1644, 897, 4555, 1988, 2466, 916, 3560, 3820, 5589, 3547, 3107, 3769, 6905, 1616, 2320, 3817, 2350, 261, 156, 605, 918, 530, 631, 1373, 5587, 5262, 1977, 2117, 965, 6115, 4664, 6707, 5231, 499, 1708, 6895, 2338, 2341, 1634, 1272, 614, 152, 201, 1003, 1001, 4845, 3922, 5984, 2379, 537, 2381, 2456, 2080, 6701, 3787, 875, 1686, 2344, 3583, 2702, 175, 2114, 5006, 4665, 6308, 4294, 4892, 6292, 5225, 3947, 5961, 3059, 920, 3400, 2827, 1033, 4510, 932, 158, 1617, 919, 4561, 1353, 3907, 2700]"
11,"[3144, 6411, 3862, 5283, 1675, 928, 5353, 4926, 2747, 4206, 4909, 3511, 4616, 5645, 3455, 4591, 3902, 3893, 6486, 3867, 2795, 5625, 6388, 6476, 3879, 6372, 4979, 5712, 1338, 4222, 6387, 6059, 5726, 4916, 3472, 4924, 4240, 5699, 5671, 3493, 5716, 4802, 1684, 5656, 6029, 2756, 3096, 3868, 3432, 6364, 2744, 2396, 218, 5281, 4642, 4605, 4941, 1666, 3499, 4942, 5370, 4194, 3120, 5761, 2782, 5379, 6487, 5741, 6860, 4634, 2750, 3480, 2745, 6867, 5618, 6090, 5326, 5329, 5979, 1310, 5312, 1283, 1335, 2735, 6716, 5617, 4999, 5722, 5697, 5840, 6106, 4262, 4948, 6091, 6353, 4590, 1330, 6714, 1656, 4610, 3854, 4983, 4937, 6492, 4572, 3832, 6715, 6070, 4593, 2731, 583, 3456, 2048, 6836, 5282, 5343, 4182, 3110, 4196, 2409, 6018, 2437, 3138, 5737, 6795, 5355, 6036, 2796, 576, 4989, 3530]"
9,"[3762, 2111, 1370, 5232, 6873, 1231, 1045, 3990, 416, 1149, 4108, 4107, 4683, 3956, 1950, 5094, 2673, 2302, 3737, 3987, 3284, 5056, 2098, 6705, 473, 4317, 4503, 2242, 4832, 4891, 1207, 154, 2689, 1743, 3346, 3339, 1878, 4499, 2323, 2660, 4152, 1010, 5389, 3635, 1794, 485, 4490, 272, 6495, 6325, 616, 828, 4153, 3959, 887, 524, 2312, 2605, 1978, 1050, 1032, 29, 2865, 5558, 3041, 1556, 3574, 3204, 1954, 873, 503, 5402, 4521, 3792, 871, 267, 180, 3038, 5042, 850, 4500, 3749, 2635, 4343, 1521, 529, 4136, 684, 14, 1894, 3773, 627, 5199, 1233, 1431, 5588, 4165, 1042, 4474, 4433, 1547, 4309, 3226, 1944, 2639, 1582, 3388, 3744, 3942, 3197, 5536, 1031, 642, 56, 3223, 4859, 3763, 498, 1773, 5163, 2131, 1558, 1227, 3960, 2286, 1901, 3359, 3562, 3201, 5172]"
3,"[1204, 475, 4105, 1893, 2263, 98, 1790, 461, 393, 4311, 91, 2841, 852, 3016, 101, 1928, 1838, 477, 1428, 1476, 72, 2274, 1792, 328, 3718, 3615, 67, 2638, 70, 3603, 4478, 352, 313, 1218, 2125, 1074, 815, 4688, 2621, 466, 832, 2140, 1397, 838, 679, 638, 3033, 2658, 2519, 795, 1769, 463, 1105, 82, 1823, 457, 290, 5055, 3348, 2652, 3225, 83, 3609, 1063, 692, 95, 1896, 2988, 3367, 2141, 4710, 3598, 1891, 1791, 2986, 3007, 2484, 335, 1789, 4129, 817, 2645, 2500, 3240, 3393, 831, 3365, 813, 1210, 1139, 1786, 3616, 694, 5077, 3011, 2985, 1937, 448, 3382, 1095, 2862, 1966, 1535, 27]"
7,"[3835, 3431, 6889, 2044, 2792, 3440, 3429, 2356, 941, 3447, 6344, 5765, 6713, 254, 238, 4918, 6118, 927, 6723, 6826, 2062, 1270, 6747, 1355, 2767, 2107, 6131, 6535, 2087, 6861, 3839, 4220, 3115, 3886, 914, 4663, 6342, 5391, 3142, 1269, 2040, 244, 3117, 3124, 2364, 1649, 5246, 1024, 6698, 3460, 4181, 4877, 966, 157, 2032, 6653, 6843, 3808, 5616, 3919, 5344, 4938, 518, 984, 560, 2355, 3797, 3838, 3155, 2102, 2436, 235, 611, 998, 2719, 5748, 3125, 2809, 564, 3914, 1324, 3074, 2028, 2383, 6866, 2096, 5349, 3079, 5015, 1635, 4279, 2365, 3173, 5740, 2346, 1313, 3090, 2788, 4424, 2031, 6361, 926, 5414, 974, 2431, 2784, 2331, 6852, 1631, 2787, 973, 191, 4276, 6661, 5733, 931, 4175, 2771, 5277, 6125, 2038, 571, 4922, 4988, 4215, 3174, 6724, 4992, 925, 4249, 6892, 4545, 2706, 1389, 2019, 5380, 2374, 2065, 3536, 5655, 3825, 906, 5966, 245, 2726, 5012, 1981, 236, 4615, 3062, 5760, 2017, 1672, 4596, 1991, 1261, 2082, 3112, 2705, 4218, 4346, 4655, 4982, 4219, 2347, 4576, 4233, 1327, 4652, 3416, 4932, 6646, 1688, 601, 3822, 2388, 985, 2081, 5969, 4748, 5033, 3116, 2034, 5844, 2348, 6107, 4159, 6463, 2389, 2815, 3102, 4554, 217, 5631, 4563, 5019, 5400, 5756, 2056, 2399, 6622, 6518, 4915, 5759, 4630, 2562, 2015, 2079, 4227, 3092, 6102]"
4,"[1533, 5446, 5810, 6310, 2503, 6897, 1465, 5926, 4692, 5473, 6298, 4529, 5184, 2937, 2881, 31, 5228, 5599, 2640, 304, 3653, 5517, 767, 666, 5205, 748, 2974, 2877, 306, 2616, 786, 495, 2644, 5046, 4439, 3972, 4027, 394, 5104, 2653, 4731, 2175, 2813, 5186, 369, 5818, 756, 6572, 4381, 1798, 5215, 1143, 5481, 4355, 6516, 2625, 4431, 325, 2947, 2201, 6938, 1883, 3668, 703, 4470, 5855, 1478, 2244, 1874, 4850, 1437, 401, 5620, 5851, 308, 330, 1443, 4739, 1065, 2182, 6571, 4080, 700, 2511, 675, 1516, 5465, 4118, 2686, 1048, 3050, 6602, 3219, 1434, 4406, 3613, 3612, 3368, 1509, 4866, 4059, 1820, 1816]"
