first,second
5,"[3786, 3937, 4518, 3168, 4678, 5197, 1423, 1429, 4028, 181, 2192, 1413, 5182, 1814, 645, 3713, 2853, 3561, 2872, 844, 4479, 6246, 1531, 6304, 2198, 3043, 4739, 3191, 6139, 2240, 1000, 3740, 2624, 1017, 6678, 1491, 2566, 266, 4400, 5545, 5207, 2940, 6506, 2448, 6570, 6242, 1934, 5054, 6165, 649, 1746, 4056, 2864, 3258, 4149, 387, 2688, 3953, 3236, 3741, 5894, 3700, 674, 3958, 1008, 5809, 2514, 6282, 3584, 5608, 3669, 3693, 2270, 35, 2891, 4879, 5489, 4830, 1467, 2329, 3588, 1013]"
16,"[3389, 1494, 322, 4140, 2666, 3351, 3267, 2292, 1920, 5056, 280, 337, 3001, 958, 682, 4323, 3014, 2884, 2644, 398, 1495, 4721, 2309, 3952, 3989, 2597, 5107, 646, 1187, 2627, 415, 458, 31, 79, 3030, 76, 3201, 2450, 13, 1815, 2162, 1183, 4045, 1529, 4338, 2583, 2233, 304, 4087, 5162, 2960, 115, 1581, 1557, 2833]"
20,"[6726, 4567, 2432, 1717, 578, 1389, 533, 559, 2424, 214, 2398, 2009, 1668, 3808, 2377, 3549, 1284, 3126, 3169, 6118, 2102, 246, 4303, 2719, 6701, 2376, 6646, 3182, 4540, 2083, 4553, 4291, 494, 2725, 4271, 215, 5565, 3539, 204, 6712, 3550, 612, 2397, 2388, 515, 245, 3835, 190, 5386, 1315, 247, 2107, 3189, 2078, 5661, 1710, 224, 5632, 4200, 936, 3121, 2705, 5747, 998, 6117, 6861, 2070, 3883, 6838, 611, 2374, 1665, 6710, 1270, 4583, 991, 6114, 4658, 1278, 5787, 4219]"
12,"[960, 1575, 201, 230, 4685, 4523, 1719, 572, 5263, 4288, 487, 2350, 149, 673, 3807, 1386, 1611, 2456, 4139, 6124, 4095, 2303, 6146, 6510, 1616, 241, 5572, 4680, 2326, 3222, 1585, 6292, 1601, 2043, 183, 3071, 5758, 3907, 5600, 522, 172, 2325, 5940, 6115, 538, 1248, 3800, 1604, 119, 1606, 176, 2099, 3188, 3769, 3067, 3433, 1707, 3799, 5419, 1250, 202, 3187, 2700, 530, 2304, 5800, 660, 4146, 624, 2342, 5537, 4137, 5425, 4920, 5586, 2093, 1241, 545, 5612, 2699, 2702]"
24,"[3697, 2195, 4377, 372, 4403, 8, 3621, 4786, 3694, 4766, 5488, 2223, 1830, 7, 1441, 1817, 3231, 1113, 407, 6219, 2610, 4459, 4387, 3643, 3662, 332, 5889, 1821, 1867, 6529, 3639, 2243, 2823, 42, 4000, 749, 3692, 1544, 4488, 2538, 2521, 2153]"
8,"[2138, 4743, 23, 1558, 2676, 3359, 3576, 2486, 5593, 1216, 1950, 438, 658, 2694, 3749, 3562, 3736, 5934, 4456, 5024, 1565, 4432, 1181, 2149, 2318, 1228, 3932, 1041, 1564, 707, 3982, 4849, 1532, 1917, 2639, 1773, 4300, 6509, 1425, 285, 3959, 1404, 1563, 1759, 2468, 3765, 1974, 3754, 1159, 4493, 1031, 1045, 3197, 4433, 6666, 336, 3585, 5577]"
17,"[4284, 581, 3447, 6491, 4189, 3920, 5032, 1988, 5624, 1329, 5022, 1274, 1652, 4650, 4905, 2728, 4424, 3066, 2727, 3068, 882, 2799, 3127, 3836, 1617, 4247, 2729, 4906, 4185, 1251, 276, 985, 3778, 2087, 966, 2346, 6884, 1260, 3923, 4545, 2385, 3818, 3437, 6589, 4548, 2004, 4877, 2770, 5275, 242, 1996, 5611, 2443, 3535, 563, 932, 4440, 6693, 925, 5394, 2367, 933, 986, 3822, 1261, 2061, 5614, 1254, 983, 3890, 2058, 3449, 3463, 2060, 2721, 5399, 6502, 2044, 4205, 2384, 1618, 1374, 6123, 1302, 1280, 3554, 4562, 3913]"
1,"[1594, 2696, 106, 898, 5771, 5232, 3761, 872, 3793, 3938, 1370, 1371, 5397, 4496, 1579, 4444, 3990, 5561, 2682, 1713, 1743, 5254, 2698, 875, 3792, 132, 1954, 1582, 108, 1732, 4483, 1735, 2104, 2135, 2677, 923, 278, 3956, 2106, 2670, 5573, 1521, 2501, 4854, 264, 2506, 851, 3424, 808, 4301, 2442, 5912, 6326, 113, 3771, 3744, 6692, 5250, 126, 6873, 1388, 1712, 1528, 3547]"
19,"[390, 3288, 4366, 2215, 1157, 5523, 6247, 4770, 3273, 767, 765, 4692, 6166, 5904, 5264, 188, 3268, 6157, 4711, 5798, 3943, 3248, 2457, 5451, 4741, 5090, 1442, 1016, 4791, 4511, 5791, 5053, 3279, 6205, 3688, 3904, 4406, 377, 5166, 4154, 4356, 5516, 2878, 4374, 5762, 5051, 5941, 5251, 2541, 3721, 4718, 3671, 5216, 6614, 4810, 5243, 4357, 5104, 1567, 6288, 6552, 262]"
22,"[2536, 1721, 6225, 5344, 5895, 5432, 4755, 6569, 6907, 6669, 5082, 6271, 4980, 4023, 4676, 5475, 4752, 5110, 5506, 5785, 6210, 5888, 6181, 1089, 5813, 3804, 2423, 5476, 4735, 4725, 6180, 2893, 5461, 2213, 5844, 2073, 3911, 610, 3696, 2071, 4531, 5497, 6155, 4032, 6928, 6498, 6350, 5885, 5230, 5058, 5270, 6149, 6875, 6597, 5367, 3419, 3645, 5261]"
